Time,Frequency,Amplitude
2024-01-04 19:08:11.060639,"325658000
","-86.3326797485
"
2024-01-04 19:08:11.076593,"322941000
","-85.6227874756
"
2024-01-04 19:08:11.092550,"328835000
","-86.2354354858
"
2024-01-04 19:08:11.106513,"325538000
","-84.9425201416
"
2024-01-04 19:08:11.122991,"324140000
","-85.7135162354
"
2024-01-04 19:08:11.138948,"326907000
","-86.6079406738
"
2024-01-04 19:08:11.155903,"319974000
","-86.5668411255
"
2024-01-04 19:08:11.171944,"324480000
","-86.4312973022
"
2024-01-04 19:08:11.186904,"323520000
","-86.5002059937
"
2024-01-04 19:08:11.203858,"326028000
","-85.8074569702
"
2024-01-04 19:08:11.217829,"320703000
","-86.1024017334
"
2024-01-04 19:08:11.234800,"322551000
","-84.0909805298
"
2024-01-04 19:08:11.249764,"327666000
","-86.4625320435
"
2024-01-04 19:08:11.265718,"326198000
","-87.1048965454
"
2024-01-04 19:08:11.281675,"326927000
","-86.3690643311
"
2024-01-04 19:08:11.298630,"322581000
","-85.5030975342
"
2024-01-04 19:08:11.313598,"325758000
","-86.0038528442
"
2024-01-04 19:08:11.329086,"324470000
","-86.7814254761
"
2024-01-04 19:08:11.345039,"325199000
","-86.3316802979
"
2024-01-04 19:08:11.361994,"323670000
","-84.6311340332
"
2024-01-04 19:08:11.376954,"324210000
","-85.0204849243
"
2024-01-04 19:08:11.392910,"323720000
","-86.9902114868
"
2024-01-04 19:08:11.408876,"323201000
","-83.6375198364
"
2024-01-04 19:08:11.424360,"328585000
","-86.5770797729
"
2024-01-04 19:08:11.439319,"319145000
","-86.3623962402
"
2024-01-04 19:08:11.455277,"324599000
","-86.9988479614
"
2024-01-04 19:08:11.472232,"324330000
","-85.895111084
"
2024-01-04 19:08:11.487196,"323500000
","-83.5893936157
"
2024-01-04 19:08:11.503149,"328256000
","-85.5953445435
"
2024-01-04 19:08:11.518120,"323660000
","-85.4665679932
"
2024-01-04 19:08:11.533598,"322382000
","-86.3928451538
"
2024-01-04 19:08:11.549556,"325958000
","-87.3317184448
"
2024-01-04 19:08:11.567508,"320513000
","-85.5825576782
"
2024-01-04 19:08:11.582504,"321562000
","-86.3319396973
"
2024-01-04 19:08:11.597463,"319864000
","-86.5093154907
"
2024-01-04 19:08:11.613430,"328685000
","-84.4049987793
"
2024-01-04 19:08:11.628917,"321363000
","-86.4244689941
"
2024-01-04 19:08:11.643873,"319315000
","-85.6728439331
"
2024-01-04 19:08:11.659836,"321293000
","-86.7355499268
"
2024-01-04 19:08:11.675788,"326997000
","-84.7992248535
"
2024-01-04 19:08:11.691745,"322951000
","-86.5303421021
"
2024-01-04 19:08:11.707216,"319554000
","-86.94506073
"
2024-01-04 19:08:11.723176,"326897000
","-86.5731430054
"
2024-01-04 19:08:11.738177,"328116000
","-84.5010681152
"
2024-01-04 19:08:11.754133,"324210000
","-85.8034515381
"
2024-01-04 19:08:11.770091,"320883000
","-86.5313873291
"
2024-01-04 19:08:11.787050,"325868000
","-85.5941543579
"
2024-01-04 19:08:11.802010,"327546000
","-85.8161621094
"
2024-01-04 19:08:11.816978,"321972000
","-85.6474456787
"
2024-01-04 19:08:11.832445,"321692000
","-85.399017334
"
2024-01-04 19:08:11.848403,"326737000
","-85.4737243652
"
2024-01-04 19:08:11.864360,"324210000
","-86.4573059082
"
2024-01-04 19:08:11.881152,"323181000
","-85.6815261841
"
2024-01-04 19:08:11.896117,"320923000
","-86.0580825806
"
2024-01-04 19:08:11.912119,"327866000
","-85.0033798218
"
2024-01-04 19:08:11.926610,"324440000
","-86.4073028564
"
2024-01-04 19:08:11.943561,"324100000
","-86.3292694092
"
2024-01-04 19:08:11.959518,"320394000
","-85.9277648926
"
2024-01-04 19:08:11.974487,"319165000
","-85.6424560547
"
2024-01-04 19:08:11.990435,"325528000
","-86.535987854
"
2024-01-04 19:08:12.006393,"327846000
","-86.0359191895
"
2024-01-04 19:08:12.022374,"321083000
","-87.0907897949
"
2024-01-04 19:08:12.036855,"324270000
","-85.142364502
"
2024-01-04 19:08:12.051816,"322002000
","-84.9750289917
"
2024-01-04 19:08:12.069767,"327157000
","-85.7210693359
"
2024-01-04 19:08:12.082732,"319055000
","-86.1523284912
"
2024-01-04 19:08:12.099686,"319215000
","-88.0580062866
"
2024-01-04 19:08:12.114657,"325528000
","-85.2907409668
"
2024-01-04 19:08:12.129152,"322641000
","-84.0317306519
"
2024-01-04 19:08:12.145109,"319504000
","-86.0876617432
"
